idx,year,sf_num,to_country,performer,song,lyrics,lyrics_eng_translation,lyrics_all_english,lyrics_english,lyrics_english_mix
329,2016,,Sweden,Frans,If I Were Sorry,"I'd crawl through the desert on my hands and knees\nRehearsing my pretty please\nClimb the highest mountain if I were sorry\n\nShout it from the top\nSwim under water until my lungs exploded\nWalk into the fire if I were sorry\n\nI'd run a thousand miles\nWouldn't stop until I dropped\nWouldn't take a break to breathe\nUntil I got close enough\n\nThen I'd do it all again\nIf I really had the chance\nBut I know deep inside for you\nIt's just another dance\n\nIf I were sorry\nI'd give you all the glory\nIf I were sorry\n\nIf I were sorry\nIt would be a different story\nIf I were sorry, if I were sorry oh\n\nI'd hold my breath until my face turned blue\nI'd rob a bank and the post office too\nSwim across the ocean if I were sorry\n\nI'd take a wow of silence\nI wouldn't say a single word\nUntil you really heard if I were sorry\n\nI'd run a thousand miles\nWouldn't stop until I dropped\nWouldn't take the break to breathe\nUntil I, I got close enough\n\nIf I were sorry\nI'd give you all the glory\nIf I were sorry\n\nIf I were sorry\nIt would be a different story\nIf I were sorry, oh\n\nNow did you ever realise\nThat your mistake had a price?\nOh, you threw it all away\n'Cause you're the devil in disguise\n\nNow would you ever realise\nThe consequences of your lies?\nAnd would you save the falling tear\nOr act as if there's nothing there?\n\nIf I were sorry\nIf I were sorry\nIf I were sorry\nIf I were sorry\n\nIf I were sorry\nI'd take a vow of silence\nI wouldn't say a single word\n(If I were sorry)\n\nIf I were sorry\nI'd be on my hands and knees\nBegging pretty please\nIf I were sorry\nBut I'm not sorry, no",,"I'd crawl through the desert on my hands and knees\nRehearsing my pretty please\nClimb the highest mountain if I were sorry\n\nShout it from the top\nSwim under water until my lungs exploded\nWalk into the fire if I were sorry\n\nI'd run a thousand miles\nWouldn't stop until I dropped\nWouldn't take a break to breathe\nUntil I got close enough\n\nThen I'd do it all again\nIf I really had the chance\nBut I know deep inside for you\nIt's just another dance\n\nIf I were sorry\nI'd give you all the glory\nIf I were sorry\n\nIf I were sorry\nIt would be a different story\nIf I were sorry, if I were sorry oh\n\nI'd hold my breath until my face turned blue\nI'd rob a bank and the post office too\nSwim across the ocean if I were sorry\n\nI'd take a wow of silence\nI wouldn't say a single word\nUntil you really heard if I were sorry\n\nI'd run a thousand miles\nWouldn't stop until I dropped\nWouldn't take the break to breathe\nUntil I, I got close enough\n\nIf I were sorry\nI'd give you all the glory\nIf I were sorry\n\nIf I were sorry\nIt would be a different story\nIf I were sorry, oh\n\nNow did you ever realise\nThat your mistake had a price?\nOh, you threw it all away\n'Cause you're the devil in disguise\n\nNow would you ever realise\nThe consequences of your lies?\nAnd would you save the falling tear\nOr act as if there's nothing there?\n\nIf I were sorry\nIf I were sorry\nIf I were sorry\nIf I were sorry\n\nIf I were sorry\nI'd take a vow of silence\nI wouldn't say a single word\n(If I were sorry)\n\nIf I were sorry\nI'd be on my hands and knees\nBegging pretty please\nIf I were sorry\nBut I'm not sorry, no",1,0
330,2016,,France,Amir,J'ai Cherché,"J'ai cherché un sens à mon existence\nJ'y ai laissé mon innocence\nJ'ai fini le cœur sans défense \nJ'ai cherché \nL'amour et la reconnaissance\nJ'ai payé le prix du silence\nJe me blesse et recommence\n\nTu m'as Comme donné l'envie d'être moi\nDonné un sens à mes pourquoi\nTu as tué la peur\nQui dormait là, qui dormait là\nDans mes bras\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking for \nYou-ou-ou-ou-ou\nLike the melody of my song\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking for\nYou-ou-ou-ou-ou\nLike the melody of my song\n\nJ'ai cherché un sens,\nun point de repère\nPartagé en deux hémisphères\nComme une erreur de l'Univers\nJ'ai jeté tellement de bouteilles à la mer\nJ'ai bu tant de liqueurs amères\nQue j'en ai les lèvres de pierre\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking for\nYou-ou-ou-ou-ou\nLike the melody of my song\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking for\nYou-ou-ou-ou-ou\nLike the melody of my song\n\nAu gré de nos blessures\nEt de nos désinvoltures\nC'est quand on n'y croit plus du tout\nQu'on trouve un Paradis perdu\n\nEn nous-ou-ou-ou-ou\nOh, you, you, you, you\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking, looking for\nYou-ou-ou-ou-ou\nLike the melody of my song\nLike the melody of my song\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking for\nYou-ou-ou-ou-ou\nLike the melody of my song\nLike the melody of my song\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking, looking for\nYou-ou-ou-ou-ou\nGive me your love with my song\nGive me your love with my song","I was looking for a sense in my existence I have lost my innocence in doing so I finished my heart without defense I was looking for Love and recognition I paid the price of silence I hurt myself and start again
You gave me like the need to be me Gave a sense to my why's You killed the fear Sleeping there, sleeping there In my arms
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking for  You-ou-ou-ou-ou Like the melody of my song
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking for You-ou-ou-ou-ou Like the melody of my song
I was looking for a sense A point of reference Divided into two hemispheres Like an error of the universe I threw so many bottles into the sea I drank so many bitter liqueurs That I got lips of stone from it
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking for You-ou-ou-ou-ou Like the melody of my song
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking for You-ou-ou-ou-ou Like the melody of my song
According to our injuries And to our casualness It's when you don't believe in at all, That you will find a paradise lost
Within u-u-us Oh, you, you, you, you
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking, looking for You-ou-ou-ou-ou Like the melody of my song Like the melody of my song
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking for You-ou-ou-ou-ou Like the melody of my song Like the melody of my song
You-ou-ou-ou-ou You're the one that's mаking me strong I'll be looking, looking, looking for You-ou-ou-ou-ou Give me your love with my song Give me your love with my ѕong","I was looking for a sense in my existence I have lost my innocence in doing so I finished my heart without defense I was looking for Love and recognition I paid the price of silence I hurt myself and start again
You gave me like the need to be me Gave a sense to my why's You killed the fear Sleeping there, sleeping there In my arms
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking for  You-ou-ou-ou-ou Like the melody of my song
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking for You-ou-ou-ou-ou Like the melody of my song
I was looking for a sense A point of reference Divided into two hemispheres Like an error of the universe I threw so many bottles into the sea I drank so many bitter liqueurs That I got lips of stone from it
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking for You-ou-ou-ou-ou Like the melody of my song
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking for You-ou-ou-ou-ou Like the melody of my song
According to our injuries And to our casualness It's when you don't believe in at all, That you will find a paradise lost
Within u-u-us Oh, you, you, you, you
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking, looking for You-ou-ou-ou-ou Like the melody of my song Like the melody of my song
You-ou-ou-ou-ou You're the one that's making me strong I'll be looking, looking for You-ou-ou-ou-ou Like the melody of my song Like the melody of my song
You-ou-ou-ou-ou You're the one that's mаking me strong I'll be looking, looking, looking for You-ou-ou-ou-ou Give me your love with my song Give me your love with my ѕong",0,1
331,2016,1,Armenia,Iveta Mukuchyan,LoveWave,"Hey it's me.\nLook, I know it might sound strange but\nsuddenly I'm not the same I used to be.\nIt's like I've stepped out of space and time and come alive.\n\nWhen it touched me the world went silent,\nCalm before the storm reaches me. \nThe ground in motion set off all sirens,\nYou took over my heartbeat, beat, beat, beat.\n\nIt's taking over me.\n\nYou\nShook my life like an earthquake now I'm waking up,\nYou\nGave me faith now I can break every single wall, \nYou\nProve we can do it all when all is out of love,\nYou (oh like a lovewave)\nSpread a lovewave 'n my heart goes ba-ba-da-bu-who-oh-oh.\n\nCaught in a downward spiral,\nI lost my soul in my dreams.\nI would give up and lose all trials,\nWhen one moment changed everything.\n\nWithout even a single warning,\nI'm not who I was before.\nA chain reaction with no returning,\nNow watch me craving for more.\n\nIt's taking over me.\n\nIt's taking, it's taking over me.\n\nYou (oh like a lovewave)\nShook my life like an earthquake now I'm waking up,\nYou (oh like a lovewave)\nGave me faith now I can break every single wall, \nYou (oh like a lovewave)\nProve we can do it all when all is out of love,\nYou\nSpread a lovewave ´n my heart goes ba-ba-da-bu-who-oh-oh.",,"Hey it's me.\nLook, I know it might sound strange but\nsuddenly I'm not the same I used to be.\nIt's like I've stepped out of space and time and come alive.\n\nWhen it touched me the world went silent,\nCalm before the storm reaches me. \nThe ground in motion set off all sirens,\nYou took over my heartbeat, beat, beat, beat.\n\nIt's taking over me.\n\nYou\nShook my life like an earthquake now I'm waking up,\nYou\nGave me faith now I can break every single wall, \nYou\nProve we can do it all when all is out of love,\nYou (oh like a lovewave)\nSpread a lovewave 'n my heart goes ba-ba-da-bu-who-oh-oh.\n\nCaught in a downward spiral,\nI lost my soul in my dreams.\nI would give up and lose all trials,\nWhen one moment changed everything.\n\nWithout even a single warning,\nI'm not who I was before.\nA chain reaction with no returning,\nNow watch me craving for more.\n\nIt's taking over me.\n\nIt's taking, it's taking over me.\n\nYou (oh like a lovewave)\nShook my life like an earthquake now I'm waking up,\nYou (oh like a lovewave)\nGave me faith now I can break every single wall, \nYou (oh like a lovewave)\nProve we can do it all when all is out of love,\nYou\nSpread a lovewave ´n my heart goes ba-ba-da-bu-who-oh-oh.",1,0
332,2016,2,Poland,Michał Szpak,Color of Your Life,When loneliness is knocking on your door\nEverything you loved just disappears \nAnd when you feel that everything is lost \nYou need to know\nThere's no life without tears \n\nOh oh oh\nTell me black or white \nWhat color is your life \nOh oh oh\nTry to ask your heart\nWho you really are \n\nNo one is forever beautiful and young\nEverything you know just disappears\nFame and gold are nothing you can be sure\nWhen there is no love in your heart \nThe choice is yours who you really want to be\nDon't be afraid of your destiny\nSo when you feel that everything is lost\nYou need to know there's no life without fear \n\nOh oh oh\nTell me black or white \nWhat color is your life \nOh oh oh\nTry to ask your heart\nWho you really are \n\nEvery day we must fight with the wind \nWe have to live \nAll these things are just empty desire \n'Cause there's no smoke without fire \n\nOh oh oh\nTell me black or white \nWhat color is your life \nOh oh oh\nTry to ask your heart\nWho you really are \n\nOh oh oh\nTry to ask your heart\nWhat color is your life,,When loneliness is knocking on your door\nEverything you loved just disappears \nAnd when you feel that everything is lost \nYou need to know\nThere's no life without tears \n\nOh oh oh\nTell me black or white \nWhat color is your life \nOh oh oh\nTry to ask your heart\nWho you really are \n\nNo one is forever beautiful and young\nEverything you know just disappears\nFame and gold are nothing you can be sure\nWhen there is no love in your heart \nThe choice is yours who you really want to be\nDon't be afraid of your destiny\nSo when you feel that everything is lost\nYou need to know there's no life without fear \n\nOh oh oh\nTell me black or white \nWhat color is your life \nOh oh oh\nTry to ask your heart\nWho you really are \n\nEvery day we must fight with the wind \nWe have to live \nAll these things are just empty desire \n'Cause there's no smoke without fire \n\nOh oh oh\nTell me black or white \nWhat color is your life \nOh oh oh\nTry to ask your heart\nWho you really are \n\nOh oh oh\nTry to ask your heart\nWhat color is your life,1,0
333,2016,2,Lithuania,Donny Montell,I've Been Waiting for This Night,"Here we are together, you and I, I\nWatching lights around us fill the night, night\nI was living in the dark\nTried to heal my broken heart until now\nHere we are together you and I, I\n\nFor a thousand years, through a million tears\nWith a hungry heart, every day apart\nI've been waiting for this night\nI've been waiting for this night\n\nWhen I see your smile and your beautiful eyes\nI get lost in time, now I know that I've\nI've been waiting for this night\nI've been waiting for this night\n\nIf only I could stay here by your side, side\nTo promise you forever here tonight, night\nThere is nothing I can do\nThat can take my heart from you, always yours\nIf only I could stay here by your side, side\n\nFor a thousand years, through a million tears\nWith a hungry heart, every day apart\nI've been waiting for this night\nI've been waiting for this night\n\nWhen I see your smile and your beautiful eyes\nI get lost in time, now I know that I've\nI've been waiting for this night\nI've been waiting for this night\n\nOh… oh…\nOh… oh…\n\nFor a thousand years, through a million tears\nWith a hungry heart, every day apart\nI've been waiting for this night\nI've been waiting for this night\n\nWhen I see your smile and your beautiful eyes\nI get lost in time, now I know that I've\nI've been waiting for this night\nI've been waiting for this night\n\nHere we are together, you and I",,"Here we are together, you and I, I\nWatching lights around us fill the night, night\nI was living in the dark\nTried to heal my broken heart until now\nHere we are together you and I, I\n\nFor a thousand years, through a million tears\nWith a hungry heart, every day apart\nI've been waiting for this night\nI've been waiting for this night\n\nWhen I see your smile and your beautiful eyes\nI get lost in time, now I know that I've\nI've been waiting for this night\nI've been waiting for this night\n\nIf only I could stay here by your side, side\nTo promise you forever here tonight, night\nThere is nothing I can do\nThat can take my heart from you, always yours\nIf only I could stay here by your side, side\n\nFor a thousand years, through a million tears\nWith a hungry heart, every day apart\nI've been waiting for this night\nI've been waiting for this night\n\nWhen I see your smile and your beautiful eyes\nI get lost in time, now I know that I've\nI've been waiting for this night\nI've been waiting for this night\n\nOh… oh…\nOh… oh…\n\nFor a thousand years, through a million tears\nWith a hungry heart, every day apart\nI've been waiting for this night\nI've been waiting for this night\n\nWhen I see your smile and your beautiful eyes\nI get lost in time, now I know that I've\nI've been waiting for this night\nI've been waiting for this night\n\nHere we are together, you and I",1,0
334,2016,2,Belgium,Laura Tesoro,What's the Pressure,"Don't ask me why the sun is shining\nNot after the day is done\nThe evening falls bright\nBring out the best in me, I see\n\nMassive falls weighing down people all around\nBut they don't seem to mind at all\nAnd I will try to stand my ground, won't be bound\nBring out the best in me\n\nWhat's the pressure?\nYou will grow, you will know in the end\nThat this is fiction\nIt's in your mind, live your life the best\n\nDon't ask me why the sun is shining\nIt brings me all joy and hope and light\nEven though these rules they, they try to take over me\nTry to take over me, I see\n\nMassive falls weighing down people all around\nBut they don't seem to mind at all\nAnd I will try to stand my ground, won't be bound\nBring out the best in me\n\nWhat's the pressure?\nYou will grow, you will know in the end\nThat this is fiction\nIt's in your mind, live your life the best\n\nNow what's the pressure?\nThis is fiction\nIt's in your mind, live your life the best\n\nYou gotta do what you wanna do\nYou gotta be who you wanna be\nSo tell me, what's the pressure?\n\nNow what's the pressure?\n'Cause this is fiction\nIt's in your mind, live your life the best\n\nNow what's the pressure?\nYou will know and you will know in the end\nThat this is fiction\nIt's in your mind, live your life the best",,"Don't ask me why the sun is shining\nNot after the day is done\nThe evening falls bright\nBring out the best in me, I see\n\nMassive falls weighing down people all around\nBut they don't seem to mind at all\nAnd I will try to stand my ground, won't be bound\nBring out the best in me\n\nWhat's the pressure?\nYou will grow, you will know in the end\nThat this is fiction\nIt's in your mind, live your life the best\n\nDon't ask me why the sun is shining\nIt brings me all joy and hope and light\nEven though these rules they, they try to take over me\nTry to take over me, I see\n\nMassive falls weighing down people all around\nBut they don't seem to mind at all\nAnd I will try to stand my ground, won't be bound\nBring out the best in me\n\nWhat's the pressure?\nYou will grow, you will know in the end\nThat this is fiction\nIt's in your mind, live your life the best\n\nNow what's the pressure?\nThis is fiction\nIt's in your mind, live your life the best\n\nYou gotta do what you wanna do\nYou gotta be who you wanna be\nSo tell me, what's the pressure?\n\nNow what's the pressure?\n'Cause this is fiction\nIt's in your mind, live your life the best\n\nNow what's the pressure?\nYou will know and you will know in the end\nThat this is fiction\nIt's in your mind, live your life the best",1,0
335,2016,1,Netherlands,Douwe Bob,Slow Down,"I'm going nowhere and I'm going fast\nI should find a place to go and rest\nI should find a place to lay my head tonight\n\nEvery morning there's another start\nEvery morning hits so hard\nGuess I'm running scared, guess I'm running on empty\n\nMister, can you help me?\n'Cause it seems I've been led astray\nI keep searching for an answer, for a way\nWon't you help me?\n\nYou gotta slow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nDo you think I'll ever learn?\nI used to be without concern\nNow all I ever do don't seem to free me\n\nMister, can you help me?\n'Cause it seems I've been led astray\nI keep searching for an answer today\nWon't you help me?\n\nYou gotta slow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on",,"I'm going nowhere and I'm going fast\nI should find a place to go and rest\nI should find a place to lay my head tonight\n\nEvery morning there's another start\nEvery morning hits so hard\nGuess I'm running scared, guess I'm running on empty\n\nMister, can you help me?\n'Cause it seems I've been led astray\nI keep searching for an answer, for a way\nWon't you help me?\n\nYou gotta slow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nDo you think I'll ever learn?\nI used to be without concern\nNow all I ever do don't seem to free me\n\nMister, can you help me?\n'Cause it seems I've been led astray\nI keep searching for an answer today\nWon't you help me?\n\nYou gotta slow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on",1,0
336,2016,1,Malta,Ira Losco,Walk on Water,"AHH\nAHH\n\nI've been fading into grey\nTrying to be someone\nTrying to please someone \n\nI've been painting bitter blue\nAlways hitting walls\nAlways trying to break the fall\n\nI'm not perfect\nBut I'm A ok \nChasing off the clouds \nI lock the blues away\nI lock the pain away \n\nI can't get enough of your love\nI can't get you out of my heart\nI can't get enough of your love\n'Cause i-i-i-I\n\nFeel like I can walk on water\nOn water, On water\nAnd now i'm gonna walk on \nwater, On water, On water \nFeels like I can walk on water\n\nI've been trying hard to hear\nwhat my heart wants to say\nLetting it lead the way\n\nI'm not perfect\nBut I'm A ok \nChasing off the clouds \nI lock the blues away\nI lock the pain away \n\nI can't get enough of your love\nI can't get you out of my heart\nI can't get enough of your love\n'Cause i-i-i-I\n\nFeel like I can walk on water\nOn water , On water\nAnd now i'm gonna walk on \n\nOoh ooh ooh \nAll I wanna do is\nOoh ooh ooh\nKeep walking on water\nOoh ooh ooh\nAll I wanna do is\nWalk on water\n\nOoh \n\nI can't get enough of your love\n'Cause i- i-i-I\n\nFeel like I can walk on water\nOn water, On water\nAnd now i'm gonna walk on \nwater On water on water \nFeel like I can walk on water",,"AHH\nAHH\n\nI've been fading into grey\nTrying to be someone\nTrying to please someone \n\nI've been painting bitter blue\nAlways hitting walls\nAlways trying to break the fall\n\nI'm not perfect\nBut I'm A ok \nChasing off the clouds \nI lock the blues away\nI lock the pain away \n\nI can't get enough of your love\nI can't get you out of my heart\nI can't get enough of your love\n'Cause i-i-i-I\n\nFeel like I can walk on water\nOn water, On water\nAnd now i'm gonna walk on \nwater, On water, On water \nFeels like I can walk on water\n\nI've been trying hard to hear\nwhat my heart wants to say\nLetting it lead the way\n\nI'm not perfect\nBut I'm A ok \nChasing off the clouds \nI lock the blues away\nI lock the pain away \n\nI can't get enough of your love\nI can't get you out of my heart\nI can't get enough of your love\n'Cause i-i-i-I\n\nFeel like I can walk on water\nOn water , On water\nAnd now i'm gonna walk on \n\nOoh ooh ooh \nAll I wanna do is\nOoh ooh ooh\nKeep walking on water\nOoh ooh ooh\nAll I wanna do is\nWalk on water\n\nOoh \n\nI can't get enough of your love\n'Cause i- i-i-I\n\nFeel like I can walk on water\nOn water, On water\nAnd now i'm gonna walk on \nwater On water on water \nFeel like I can walk on water",1,0
337,2016,1,Austria,Zoë,Loin d'ici,"Et quand tu chantes, oui moi je chante aussi\nQuand tu t'élances, je suis\nEt quand tu voles, oui moi je vole aussi\nSi tu t'élances, j'te suis\nDans un pays loin d'ici\nÀ la recherche du paradis\nDans un pays loin d'ici\nOn chante, on chante\n\nDans un pays loin d'ici\nÀ la recherche du paradis\nDans un pays loin d'ici\nOn chante\n\nEt quand la route nous semble sans issue\nSans aucun doute j'te suis\nSans aucun doute, même si on s'ra perdu\nSans aucun doute j'te suis\n\nDans un pays loin d'ici\nÀ la recherche du paradis\nDans un pays loin d'ici\nOn chante, on chante\n\nDans un pays loin d'ici\nÀ la recherche du paradis\nDans un pays loin d'ici\nOn chante, on chante\n\nOn chante et on danse et on rit\nOn s'élance, réuni\nEnivré dans l'imprudence\n\nDans un pays loin d'ici\nÀ la recherche du paradis\nDans un pays loin d'ici\nOn chante, on chante\n\nDans un pays loin d'ici\nÀ la recherche du paradis\nDans un pays loin d'ici\nOn chante, on chante\n\n(Dans un pays loin d'ici) Dans un pays\n(À la recherche du paradis) Du paradis\n(Dans un pays loin d'ici) Dans un pays\nOn chante, on chante\n\n(Dans un pays loin d'ici)\nOn chante, on chante, on danse, on danse\n(À la recherche du paradis) Dans un pays\n\n(Dans un pays loin d'ici)\nOn chante, on chante, on danse, on danse\n(On chante) Loin d'ici","When you sing, I will sing along When you go for it, I follow And when you fly, yes I will fly with you When you go for it, I follow In a land, far from here Searching for the paradise In a land far from here They're singing, they're singing
In a land, far from here Searching for the paradise In a land far from here They're singing
Even if the road seams to be a dead end Undoubtedly I'm with you Undoubtedly, even if we lost Undoubtedly I'm with you
In a land, far from here Searching for the paradise In a land far from here They're singing, they're singing
In a land, far from here Searching for the paradise In a land far from here They're singing, they're singing
They sing and dance and laugh They go for it, all together Tipsy, into carelessness
In a land, far from here Searching for the paradise In a land far from here They're singing, they're singing
In a land, far from here Searching for the paradise In a land far from here They're singing, they're singing
(In a land, far from here) In a land (Searching for the paradise) Paradise (In a land far from here) In a land They're singing, they're singing
(In a land, far from here) They sing, they sing, they dance, they dance (In a land, far from here) In a land
(In a land, far from here) They sing, they sing, they dance, they dance (They ѕing) Fаr from here","When you sing, I will sing along When you go for it, I follow And when you fly, yes I will fly with you When you go for it, I follow In a land, far from here Searching for the paradise In a land far from here They're singing, they're singing
In a land, far from here Searching for the paradise In a land far from here They're singing
Even if the road seams to be a dead end Undoubtedly I'm with you Undoubtedly, even if we lost Undoubtedly I'm with you
In a land, far from here Searching for the paradise In a land far from here They're singing, they're singing
In a land, far from here Searching for the paradise In a land far from here They're singing, they're singing
They sing and dance and laugh They go for it, all together Tipsy, into carelessness
In a land, far from here Searching for the paradise In a land far from here They're singing, they're singing
In a land, far from here Searching for the paradise In a land far from here They're singing, they're singing
(In a land, far from here) In a land (Searching for the paradise) Paradise (In a land far from here) In a land They're singing, they're singing
(In a land, far from here) They sing, they sing, they dance, they dance (In a land, far from here) In a land
(In a land, far from here) They sing, they sing, they dance, they dance (They ѕing) Fаr from here",0,0
338,2016,2,Israel,Hovi Star,Made of Stars,"A language I don't understand \nYou speak, I listen, I'm your friend\n(You hypnotize me)\n\nTake my hand\nA million faces tied in chains\nYou ride a Black horse in the rain \n(You hypnotize me)\n\nDon't escape no more, no more, no more, no more\nWe are all\n\nMade of stars\nSilver fragments fallin'\nWe are made of stars\nWe are made of stars\nSearching for that secret promise\nMade of stars\n\nYou heal me, you fill me\nIgnite a flame within me\n(Hypnotize me)\nI'm begging you\nDon't escape no more, no more, no more, no more\nWe are all\n\nMade of stars\nSilver fragments fallin'\nWe are made of stars\nWe are made of stars\nSearching for that secret promise\nMade of stars\n\nTell me that you understand\nCome in close and take my hand\nLet's float across the sky like there's no floor and there's no ceiling\nDance with me like we are made of stars\n'cause we are, we are, we are\n\nMade of stars\nSilver fragments fallin'\nWe are made of stars\nWe are made of stars\nSearching for that secret promise\nMade of stars\n\nDance with me like we are made of stars",,"A language I don't understand \nYou speak, I listen, I'm your friend\n(You hypnotize me)\n\nTake my hand\nA million faces tied in chains\nYou ride a Black horse in the rain \n(You hypnotize me)\n\nDon't escape no more, no more, no more, no more\nWe are all\n\nMade of stars\nSilver fragments fallin'\nWe are made of stars\nWe are made of stars\nSearching for that secret promise\nMade of stars\n\nYou heal me, you fill me\nIgnite a flame within me\n(Hypnotize me)\nI'm begging you\nDon't escape no more, no more, no more, no more\nWe are all\n\nMade of stars\nSilver fragments fallin'\nWe are made of stars\nWe are made of stars\nSearching for that secret promise\nMade of stars\n\nTell me that you understand\nCome in close and take my hand\nLet's float across the sky like there's no floor and there's no ceiling\nDance with me like we are made of stars\n'cause we are, we are, we are\n\nMade of stars\nSilver fragments fallin'\nWe are made of stars\nWe are made of stars\nSearching for that secret promise\nMade of stars\n\nDance with me like we are made of stars",1,0
339,2016,2,Latvia,Justs,Heartbeat,"I know you told so many times\nSo many words in different rhymes\nBut I don't feel the same\n\nI wasn't innocent, I know\nAnd things I did for sure were wrong\nThe time has passed so long\n\nFeeling your heartbeat\nThat's what I want\nThat's what I need\nFeeling again that you're breathing with me\n\nI'm getting wild when I'm alone\nI learned by heart you're not my own\nBut I never asked you to belong\n\nYou're my desire and my pain\nBut all battles are in vain\nYou mean more than anything to me\n\nFeeling your heartbeat\nThat's what I want\nThat's what I need\nFeeling again that you're breathing with me\n\nFeeling your heartbeat\nThat's what I want\nThat's what I need\nFeeling again that you're breathing with me\n\nYou're the one that I need\nYou're the air that I breathe\nDon't throw my heart away\nI want you to stay\n\nFeeling your heartbeat\nThat's what I want\nThat's what I need\nFeeling again that you're breathing with me\n\nFeeling your heartbeat\nThat's what I want\nThat's what I need\nFeeling again that you're breathing with me\n\nFeeling your heartbeat",,"I know you told so many times\nSo many words in different rhymes\nBut I don't feel the same\n\nI wasn't innocent, I know\nAnd things I did for sure were wrong\nThe time has passed so long\n\nFeeling your heartbeat\nThat's what I want\nThat's what I need\nFeeling again that you're breathing with me\n\nI'm getting wild when I'm alone\nI learned by heart you're not my own\nBut I never asked you to belong\n\nYou're my desire and my pain\nBut all battles are in vain\nYou mean more than anything to me\n\nFeeling your heartbeat\nThat's what I want\nThat's what I need\nFeeling again that you're breathing with me\n\nFeeling your heartbeat\nThat's what I want\nThat's what I need\nFeeling again that you're breathing with me\n\nYou're the one that I need\nYou're the air that I breathe\nDon't throw my heart away\nI want you to stay\n\nFeeling your heartbeat\nThat's what I want\nThat's what I need\nFeeling again that you're breathing with me\n\nFeeling your heartbeat\nThat's what I want\nThat's what I need\nFeeling again that you're breathing with me\n\nFeeling your heartbeat",1,0
